=== Confusiones con 5 o más casos ===
Amphora_pediculus                   -> Amphora_indistincta                 : 87 veces
Discostella_pseudostelligera        -> Cyclotella_meduanae                 : 78 veces
Discostella_pseudostelligera        -> Stephanodiscus_lacustris            : 69 veces
Achnanthidium_sp                    -> Achnanthidium_jackii                : 60 veces
Achnanthidium_jackii                -> Achnanthidium_sp                    : 57 veces
Nitzschia_inconspicua               -> Nitzschia_soratensis                : 56 veces
Discostella_pseudostelligera        -> Cyclotella_atomus                   : 54 veces
Planothidium_frequentissimum        -> Planothidium_lanceolatum            : 47 veces
Nitzschia_sp                        -> Nitzschia_palea                     : 45 veces
Nitzschia_soratensis                -> Nitzschia_inconspicua               : 44 veces
Navicula_sp                         -> Navicula_veneta                     : 40 veces
Planothidium_lanceolatum            -> Planothidium_frequentissimum        : 39 veces
Achnanthidium_sp                    -> Achnanthidium_atomoides             : 36 veces
Achnanthidium_jackii                -> Achnanthidium_atomoides             : 23 veces
Nitzschia_sp                        -> Nitzschia_dissipata                 : 23 veces
Achnanthidium_pyrenaicum            -> Achnanthidium_sp                    : 21 veces
Nitzschia_sp                        -> Nitzschia_inconspicua               : 21 veces
Nitzschia_sp                        -> Nitzschia_soratensis                : 20 veces
Stephanodiscus_lacustris            -> Discostella_pseudostelligera        : 20 veces
Achnanthidium_sp                    -> Achnanthidium_pyrenaicum            : 19 veces
Cyclotella_meduanae                 -> Discostella_pseudostelligera        : 19 veces
Nitzschia_soratensis                -> Nitzschia_sp                        : 19 veces
Navicula_sp                         -> Navicula_recens                     : 17 veces
Achnanthidium_sp                    -> Sellaphora_nigri                    : 15 veces
Amphora_indistincta                 -> Amphora_pediculus                   : 14 veces
Navicula_recens                     -> Navicula_germainii                  : 13 veces
Nitzschia_dissipata                 -> Nitzschia_palea                     : 13 veces
Nitzschia_inconspicua               -> Nitzschia_sp                        : 13 veces
Achnanthidium_atomoides             -> Achnanthidium_jackii                : 12 veces
Achnanthidium_atomoides             -> Achnanthidium_sp                    : 12 veces
Achnanthidium_pyrenaicum            -> Achnanthidium_jackii                : 12 veces
Achnanthidium_rivulare              -> Sellaphora_nigri                    : 12 veces
Stephanodiscus_lacustris            -> Cyclotella_meduanae                 : 12 veces
Navicula_gregaria                   -> Navicula_germainii                  : 11 veces
Navicula_sp                         -> Achnanthidium_pyrenaicum            : 11 veces
Navicula_veneta                     -> Navicula_sp                         : 11 veces
Nitzschia_palea                     -> Nitzschia_sp                        : 11 veces
Sellaphora_nigri                    -> Achnanthidium_atomoides             : 11 veces
Achnanthidium_atomoides             -> Sellaphora_nigri                    : 10 veces
Cyclotella_atomus                   -> Discostella_pseudostelligera        : 10 veces
Navicula_cryptotenella              -> Navicula_veneta                     : 10 veces
Navicula_sp                         -> Navicula_gregaria                   : 10 veces
Sellaphora_nigri                    -> Achnanthidium_rivulare              : 10 veces
Sellaphora_nigri                    -> Achnanthidium_sp                    : 10 veces
Nitzschia_sp                        -> Navicula_sp                         : 9 veces
Cyclotella_meneghiniana             -> Cyclotella_meduanae                 : 8 veces
Navicula_veneta                     -> Navicula_cryptotenella              : 8 veces
Stephanodiscus_lacustris            -> Cyclotella_atomus                   : 8 veces
Achnanthidium_rivulare              -> Achnanthidium_atomoides             : 7 veces
Achnanthidium_sp                    -> Achnanthidium_rivulare              : 7 veces
Amphora_pediculus                   -> Achnanthidium_pyrenaicum            : 7 veces
Navicula_sp                         -> Navicula_cryptotenella              : 7 veces
Navicula_sp                         -> Navicula_germainii                  : 7 veces
Navicula_veneta                     -> Navicula_gregaria                   : 7 veces
Rhoicosphenia_abbreviata            -> Gomphonella_olivacea                : 7 veces
Achnanthidium_rivulare              -> Achnanthidium_sp                    : 6 veces
Gomphonema_micropus                 -> Gomphonema_parvulum                 : 6 veces
Gomphonema_parvulum                 -> Gomphonema_micropus                 : 6 veces
Navicula_gregaria                   -> Navicula_sp                         : 6 veces
Navicula_recens                     -> Navicula_sp                         : 6 veces
Nitzschia_palea                     -> Nitzschia_dissipata                 : 6 veces
Achnanthidium_atomoides             -> Humidophila_contemnata              : 5 veces
Achnanthidium_atomoides             -> Nitzschia_soratensis                : 5 veces
Crenotia_rumrichorum                -> Achnanthidium_jackii                : 5 veces
Cyclotella_meduanae                 -> Cyclotella_meneghiniana             : 5 veces
Cyclotella_meduanae                 -> Stephanodiscus_lacustris            : 5 veces
Cyclotella_meneghiniana             -> Discostella_pseudostelligera        : 5 veces
Gomphonella_olivacea                -> Rhoicosphenia_abbreviata            : 5 veces
Navicula_cryptotenella              -> Navicula_sp                         : 5 veces
Nitzschia_inconspicua               -> Nitzschia_palea                     : 5 veces
Nitzschia_soratensis                -> Mayamaea_permitis                   : 5 veces
Planothidium_lanceolatum            -> Crenotia_rumrichorum                : 5 veces
